REFID	UNIX	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72
0	1640062860.0	0.0	37.03962	46.01179	42.3802	54.87497	48.20033	54.60467	51.69678	50.1273	43.46575	56.94144	73.03728	62.66131	61.28802	60.5338	62.78338	52.91312	47.6859	46.87936	49.46899	52.15454	36.69085	42.71589	48.0739	48.98943	42.07502	53.3796	48.83684	33.83092	34.09685	0.0	0.0	0.92076	1.40904	3.69001	2.50767	3.268	2.68206	9.13086	3.80859	0.03488	0.02441	20.2567	14.9135	0.0	0.0	0.0	20.24623	0.0	0.38365	0.0	0.0	0.0	7.95201	11.4781	8.59375	0.24065	13.94741	7.72879	7.46722	4.72935	4.02134	3.95508	4.57241	27.76576	5.30483	1.08119	12.84877	10.93052	16.43066	8.73326	50.62779	35.25739	36.99079	33.07059	26.26953	19.10924	18.24079	24.7733	0.0	0.0	0.0	39.93443	18.71512	12.71973	17.70368	38.99623	0.0	0.0	0.0	24.56403	12.99177	0.24763	5.96401	9.53195	5.58733	6.94406	6.49065	10.58175	1.34277	4.77121	0.38714
1	1640062920.0	0.0	36.88703	45.82868	42.52407	54.92728	47.9344	54.56107	51.67934	50.04011	43.50935	56.88913	73.05472	62.62207	61.42317	60.55995	62.73106	53.2183	47.80361	47.00579	49.63466	52.50767	36.68213	42.8554	48.06519	48.49679	42.14478	53.42756	48.69734	33.65217	33.87015	0.0	0.0	0.88588	1.40555	3.48772	2.32282	3.00642	2.51814	8.38797	3.54353	0.04185	0.02441	18.607	13.75209	0.0	0.0	0.0	18.77093	0.0	0.37319	0.0	0.0	0.0	7.86482	11.3072	8.20661	0.2267	12.96387	7.28237	6.82547	4.41197	3.78069	3.66908	4.35965	25.16044	5.12347	1.07073	12.33956	10.30971	14.85073	8.16127	46.32743	31.90918	34.18318	30.32575	24.5745	17.65137	16.68527	22.58301	0.0	0.0	0.0	36.45368	16.89453	12.00126	16.47252	36.34208	0.0	0.0	0.0	23.13058	12.21052	0.24414	5.78962	9.01228	5.39202	6.48368	6.10003	9.58426	1.34626	4.38407	0.31738
2	1640062980.0	0.0	36.67777	46.04231	42.55022	54.67442	47.88208	54.38232	51.36544	49.97035	43.31752	57.43844	72.8629	62.4782	61.64115	60.65151	62.63079	53.6935	48.01287	47.14966	49.83956	52.71258	36.83472	42.70281	48.17854	48.35728	42.12734	53.09623	48.81505	32.66689	34.10993	0.0	0.0	0.87193	1.41602	3.58189	2.4135	3.05873	2.57394	8.53097	3.57143	0.03488	0.02441	19.60449	14.56473	0.0	0.0	0.0	19.61147	0.0	0.36621	0.0	0.0	0.0	8.14035	11.64202	8.27985	0.2267	12.55929	6.79408	7.0173	4.53055	3.72489	3.59235	4.33524	25.42201	5.11998	1.08119	12.35352	10.34807	15.13672	8.38797	47.02846	32.6695	34.74121	31.03725	25.16044	18.15011	17.20494	23.50725	0.0	0.0	0.0	37.69531	17.67229	12.52093	17.1596	37.72321	0.0	0.0	0.0	23.9781	12.643	0.24763	5.82101	9.25293	5.46177	6.49414	6.19071	9.54939	1.36719	4.45382	0.34528
3	1640063040.0	0.0	36.68649	45.881	42.3802	55.08423	47.62486	54.4172	51.73165	50.07499	43.47447	57.07223	72.42257	62.24714	61.86349	60.65587	62.53052	54.11639	48.20469	47.38944	50.02703	52.57743	36.58186	42.42815	48.32241	48.61014	42.16221	53.41012	49.22921	33.24672	33.97042	0.0	0.0	0.95912	1.40206	3.50167	2.37863	3.31682	2.68555	8.7507	3.62026	0.04534	0.03139	18.03502	13.2115	0.0	0.0	0.0	17.71763	0.0	0.36621	0.0	0.0	0.0	7.27888	10.78404	7.91713	0.23368	12.1582	6.7906	7.31027	4.54102	3.95159	3.90625	4.61077	29.45382	5.53502	1.09515	13.2394	11.28627	16.97475	9.18318	51.44043	36.09445	38.3231	34.75167	27.26004	19.5731	17.83622	25.01395	0.0	0.0	0.0	39.35198	18.11523	11.01074	17.32352	38.69978	0.0	0.0	0.0	21.96917	11.46066	0.25112	5.92564	10.12137	5.67801	7.06264	6.48717	10.71429	1.39509	4.92467	0.38016
4	1640063100.0	0.0	36.44235	46.18617	42.44995	54.83137	47.46791	54.65262	51.91912	50.06191	43.23469	57.18994	72.7975	62.05096	62.0466	60.69946	62.41717	54.49568	48.39652	47.48535	50.24065	53.08315	36.90447	42.59382	48.23957	48.84992	41.97475	53.25753	49.28153	33.65217	34.30176	0.0	0.0	0.9382	1.44741	3.91671	2.6995	3.51911	2.84598	9.9993	4.17829	0.04534	0.0279	21.875	16.70271	0.0	0.0	0.0	22.17494	0.0	0.3697	0.0	0.0	0.0	8.3531	12.50698	8.65653	0.2267	13.85324	7.15332	7.76018	4.81306	4.0353	4.00391	4.90374	29.82352	5.50363	1.09863	13.06152	11.45368	18.13965	9.76214	54.49568	38.6091	40.62151	36.363	28.80511	20.77288	20.15206	27.85296	0.0	0.0	0.0	43.73954	20.31599	13.8916	19.40569	43.14662	0.0	0.0	0.0	26.57994	14.17759	0.24763	6.08956	10.1144	5.83845	7.39049	6.86384	10.98982	1.40904	5.06766	0.4255
5	1640063160.0	0.0	36.5121	46.08154	42.43251	55.06679	47.79925	54.63954	51.79705	49.857	42.99927	57.41228	73.34682	61.93324	62.11635	60.6951	62.28638	54.73982	48.49243	47.60742	50.34528	52.83465	37.03962	41.92243	47.96927	48.54911	42.16221	53.43192	49.48207	33.72192	34.40639	0.0	0.0	0.98354	1.40206	3.5505	2.47977	3.30985	2.67508	9.15876	3.79116	0.04185	0.0279	19.71261	14.70075	0.0	0.0	0.0	18.81975	0.0	0.3697	0.0	0.0	0.0	7.18471	10.64802	7.41839	0.2267	11.63853	6.83245	7.28237	4.41546	4.03181	3.96205	4.90723	31.62319	5.8524	1.09515	13.87765	11.7327	18.25474	9.7168	54.91071	38.94741	40.55873	36.53041	28.55399	20.30204	19.03599	26.51018	0.0	0.0	0.0	39.22294	18.33496	12.29771	17.37235	39.75656	0.0	0.0	0.0	22.97712	12.01869	0.24414	5.8245	9.79004	5.54897	7.77762	7.03474	11.42229	1.37765	5.07812	0.40458
6	1640063220.0	0.0	36.4903	46.09462	42.65921	54.82265	47.77745	54.79213	51.62702	50.00959	42.92951	57.32945	72.90649	61.78502	62.05967	60.7169	62.2079	54.93164	48.46627	47.6859	50.4194	53.17034	36.86959	42.14914	48.03903	48.52731	41.89192	53.08751	48.91532	33.42983	34.14481	0.0	0.0	0.93122	1.41253	3.46331	2.39955	3.21219	2.60533	9.05064	3.87835	0.04883	0.0279	18.00363	13.6091	0.0	0.0	0.0	17.95131	0.0	0.36621	0.0	0.0	0.0	6.8464	9.97838	6.97893	0.22321	10.18066	6.18722	6.52902	3.86789	3.62026	3.42494	4.64565	29.7433	5.45829	1.09166	12.6988	11.1921	17.88853	9.41685	53.125	37.69182	39.04855	35.87472	27.43443	19.64983	18.19196	25.30692	0.0	0.0	0.0	37.21749	17.4142	11.08747	16.30859	38.33008	0.0	0.0	0.0	21.11816	10.98633	0.24414	5.57338	8.90416	5.19322	7.02079	6.29534	10.40039	1.36719	4.53404	0.33482
7	1640063280.0	0.0	36.69957	46.1295	42.42815	55.11475	47.52023	55.06679	51.30005	49.89188	43.30444	57.30765	73.12448	61.71526	61.94632	60.71254	62.19918	54.96216	48.35292	47.69897	50.53275	52.91312	37.01346	42.3802	48.10878	48.37472	41.61726	53.42756	48.96763	33.47778	34.01402	0.0	0.0	0.86496	1.4195	3.63421	2.40304	3.09361	2.51814	8.81348	3.86091	0.04883	0.02441	20.14509	15.00767	0.0	0.0	0.0	20.14509	0.0	0.3697	0.0	0.0	0.0	7.7846	11.29325	8.22405	0.22321	12.45117	6.47321	6.9615	4.42941	3.64467	3.39704	4.25851	25.29297	5.24205	1.08119	11.3909	10.38295	14.86119	8.28334	45.78334	31.74874	34.36105	30.9954	24.75237	17.79436	17.23982	23.51423	0.0	0.0	0.0	38.48703	17.85714	12.70229	17.79785	40.51339	0.0	0.0	0.0	24.49079	12.82785	0.24414	5.96052	8.95299	5.64314	6.37207	5.91169	9.42732	1.38811	4.28641	0.32785
8	1640063340.0	0.0	36.79984	46.19489	42.3584	54.72674	47.57254	55.2499	51.51367	49.65646	43.23469	57.09403	72.83238	61.57139	61.85913	60.69946	62.19482	54.9142	48.32241	47.69026	50.48043	53.29241	37.3448	41.87012	48.1393	47.81233	42.16657	53.4668	48.82377	33.52574	34.24944	0.0	0.0	0.94169	1.4195	3.61328	2.44489	3.17034	2.60184	9.10645	3.97949	0.04883	0.0279	20.13114	15.00767	0.0	0.0	0.0	20.28111	0.0	0.3697	0.0	0.0	0.0	8.18569	12.06752	8.39844	0.21973	13.29171	7.25098	7.63114	4.82701	4.08761	3.96205	4.63867	27.57394	5.60477	1.09863	12.69182	11.1363	15.24484	8.59724	48.06431	33.27288	35.89216	32.30329	25.50223	18.3524	17.81878	24.17341	0.0	0.0	0.0	38.94392	17.96875	13.07896	18.10477	41.95382	0.0	0.0	0.0	25.11509	13.22545	0.24065	6.14886	10.03069	5.91867	7.17076	6.6476	10.67592	1.37068	4.88281	0.38016
9	1640063400.0	0.0	36.99602	46.14694	42.16221	55.33709	47.40688	54.93164	51.26953	49.70006	42.8554	57.04171	72.39205	61.51908	61.74142	60.65587	62.22534	54.81393	48.30497	47.66846	50.61994	53.13982	37.03526	41.98783	48.6145	47.15402	41.99219	53.29677	48.97635	33.37315	34.21456	0.0	0.0	0.94866	1.42648	3.85045	2.64718	3.50865	2.8111	10.43178	4.4608	0.04883	0.03139	21.59249	16.20047	0.0	0.0	0.0	21.43206	0.0	0.38016	0.0	0.0	0.0	8.08454	12.1303	8.44727	0.23019	12.91853	6.93708	7.44629	4.63867	3.83998	3.75279	4.77818	29.39453	5.4827	1.08468	12.41978	11.29325	17.05148	9.35407	52.43094	36.77804	39.24037	35.98982	27.85645	20.37528	19.53474	26.80664	0.0	0.0	0.0	42.3584	19.60449	13.62305	19.32199	45.24972	0.0	0.0	0.0	25.88588	13.49051	0.24414	6.07561	9.83538	5.86635	7.101	6.49414	10.75963	1.3916	4.92118	0.3976
