REFID	UNIX	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72
0	1641013260.0	0.0	37.7546	46.81396	42.41507	51.62266	44.95675	60.93488	59.22154	52.56435	47.30225	61.60191	67.8493	57.9398	53.88532	56.89784	56.58831	45.66738	44.05866	43.32188	46.68318	51.92784	34.10993	46.26465	47.01451	41.56058	40.07394	50.48915	44.28973	32.89795	32.32247	0.0	0.0	5.06417	2.55999	4.25502	3.0692	4.58287	3.70047	12.76158	6.64062	0.04883	0.07324	5.46875	6.54297	0.0	0.0	0.0	13.93345	0.0	0.33831	0.0	0.0	0.0	6.89872	11.73968	8.09152	0.24414	7.27888	6.68945	6.393	3.52958	5.2281	4.58287	9.05064	55.28739	3.98647	0.47084	10.92355	9.22852	11.3351	6.6476	16.34347	20.2846	34.1204	27.56696	21.09026	12.80343	12.7546	17.00614	0.0	0.0	0.0	23.02944	7.82994	12.06055	14.17759	29.50265	0.0	0.0	0.0	21.83664	9.92257	0.21624	4.89676	8.8623	4.29339	8.00432	6.83245	6.76618	1.06376	2.56348	0.34528
1	1641013320.0	0.0	37.7982	46.85756	43.03414	51.91476	44.62542	60.74306	58.70274	52.66462	47.44176	61.39701	68.10652	58.07059	53.85045	56.98068	56.89348	45.68917	44.0543	43.44831	46.70061	51.74909	34.27996	46.04667	47.11042	41.54314	40.39219	50.46735	44.15458	33.15953	32.95462	0.0	0.0	4.55845	2.36468	4.35268	3.14244	4.70843	3.7772	9.0332	3.78069	0.04883	0.06975	5.4827	6.59877	0.0	0.0	0.0	13.83929	0.0	0.3418	0.0	0.0	0.0	7.19517	12.02916	8.1822	0.25809	7.2719	6.8185	7.05915	3.7772	5.43387	4.82701	9.232	57.21261	4.2341	0.49177	11.68039	9.85631	11.62807	6.8743	16.49344	20.72056	34.6017	26.07422	21.46345	12.85575	12.97433	17.30608	0.0	0.0	0.0	22.98758	7.7846	11.9873	14.15667	29.39453	0.0	0.0	0.0	22.37374	10.15625	0.20926	4.76772	8.50656	3.88532	6.44182	6.46275	8.36705	1.05329	2.88435	0.35575
2	1641013380.0	0.0	37.53226	46.72677	42.79	51.80141	44.52951	60.92181	58.63735	52.41176	47.18018	61.58447	68.10652	58.08803	53.70658	57.00684	57.22918	45.65866	44.09354	43.48755	46.76165	51.72729	33.93991	45.42759	47.09298	41.8396	40.73225	50.77689	44.27665	32.89795	33.09849	0.0	0.0	4.0632	2.17285	4.46777	3.21917	4.81655	3.92718	9.44127	3.98298	0.04185	0.07324	5.66057	6.80455	0.0	0.0	0.0	14.47405	0.0	0.33831	0.0	0.0	0.0	7.61021	12.63253	8.54492	0.24763	7.25795	6.84291	7.53697	4.10505	5.22112	4.71191	9.10296	55.8245	4.16783	0.49177	11.43624	9.73772	11.58622	6.87779	16.79688	20.95424	35.01325	25.80915	21.9308	13.40681	13.33357	17.75251	0.0	0.0	0.0	24.49777	8.34612	12.73717	14.98675	31.33022	0.0	0.0	0.0	23.65723	10.7387	0.20578	4.82003	8.50307	3.95857	6.35812	6.44182	8.37751	1.06027	2.82157	0.3697
3	1641013440.0	0.0	38.05978	47.01451	42.85976	51.98451	44.56002	60.44224	58.02699	52.20686	47.24993	61.37521	68.21115	58.01828	53.61067	56.97632	57.46896	45.70661	44.08918	43.54422	46.78345	51.84937	34.24944	45.49735	47.42432	41.51263	40.22217	50.74201	44.42923	32.66253	32.81948	0.0	0.0	3.5784	2.11705	4.67355	3.36217	4.7433	4.02134	9.50753	4.20271	0.04883	0.07324	5.84542	6.91267	0.0	0.0	0.0	15.06696	0.0	0.3418	0.0	0.0	0.0	8.0113	13.16267	8.84835	0.26158	7.10798	6.5918	7.1882	4.15388	4.65262	4.3178	7.98689	47.79227	3.43541	0.48479	10.07603	8.76814	10.66197	6.19768	15.61454	19.32547	32.54743	24.21526	20.45201	12.6988	12.95689	16.95731	0.0	0.0	0.0	25.00698	8.5798	12.94992	15.77497	32.42536	0.0	0.0	0.0	23.65723	10.83984	0.21275	4.87932	8.16127	4.05971	6.28488	6.10352	7.99386	1.0498	2.58789	0.34877
4	1641013500.0	0.0	37.82872	46.85756	42.79436	51.53983	44.78673	60.61663	58.02264	52.42484	47.52459	61.39701	67.57464	57.95288	53.52783	56.924	57.56051	45.6107	44.10662	43.56602	46.72677	51.73165	34.16661	45.41452	47.33712	41.90935	40.42707	50.6243	44.28973	32.78024	33.10285	0.0	0.0	3.92369	2.16588	4.4887	3.26451	4.90025	3.97252	9.29129	4.0353	0.03836	0.07324	5.58733	6.75223	0.0	0.0	0.0	14.0904	0.0	0.3418	0.0	0.0	0.0	7.85435	12.78599	8.58329	0.25809	7.44978	7.1882	7.61021	4.2899	4.98047	4.59682	8.93555	53.2959	4.12249	0.47084	11.62458	9.48312	11.68736	6.67201	16.47949	20.90541	34.6889	26.38811	21.58203	13.21847	13.13825	17.53976	0.0	0.0	0.0	23.93276	8.3252	12.5558	15.05301	31.12444	0.0	0.0	0.0	23.77581	10.72824	0.20578	4.85491	9.25293	4.20619	7.63114	7.03823	8.44727	1.0498	2.64021	0.37319
5	1641013560.0	0.0	37.54534	46.38672	42.8118	51.67934	44.56438	60.22426	57.63463	52.47716	47.45919	61.32725	67.79262	57.85697	53.47116	56.94144	57.58231	45.60198	44.08482	43.50499	46.6483	51.59215	34.26688	45.30988	47.50715	41.75677	40.71917	50.75945	44.56002	33.10721	33.05926	0.0	0.0	3.81906	2.17634	4.79213	3.57143	5.00837	4.16783	9.76911	4.30036	0.04883	0.07324	5.97796	7.19517	0.0	0.0	0.0	15.24135	0.0	0.3418	0.0	0.0	0.0	7.90667	13.34752	9.06808	0.25809	7.56487	7.06961	7.89969	4.42243	4.95605	4.3736	8.61816	50.56501	3.90625	0.47782	11.2514	9.47963	11.06655	6.46973	16.49693	20.67174	34.56334	25.69406	21.64481	13.57073	13.637	17.86412	0.0	0.0	0.0	26.20675	9.07854	13.45215	16.37486	33.6356	0.0	0.0	0.0	25.68708	11.57924	0.21275	4.90025	9.29129	4.2899	7.57185	7.12891	8.64607	1.04632	2.60882	0.38365
6	1641013620.0	0.0	37.61509	46.51751	42.72461	51.49187	44.62542	60.08911	57.92672	52.4074	47.32404	61.41009	67.98444	57.80029	53.4886	56.86733	57.44716	45.57582	44.02379	43.47447	46.6483	52.00195	34.34099	45.37964	47.43304	41.5475	40.59274	51.05155	44.54259	32.83255	32.97206	0.0	0.0	3.41448	2.14844	3.83998	2.64718	3.9481	3.23661	7.44629	3.33078	0.04534	0.06975	4.44336	5.38504	0.0	0.0	0.0	10.72824	0.0	0.3418	0.0	0.0	0.0	5.81055	9.08552	6.8185	0.26158	4.61426	4.38756	5.10951	2.6716	3.39007	3.13895	6.12095	37.12681	2.52162	0.46038	7.41141	6.81501	9.25991	5.35017	13.47307	16.15862	27.28795	20.16253	17.08984	11.37347	10.92006	14.34501	0.0	0.0	0.0	19.27316	6.48019	9.97838	11.79199	24.48033	0.0	0.0	0.0	17.38281	8.15081	0.20926	4.72238	6.56738	3.82254	5.79311	4.9421	7.63811	1.04283	1.71247	0.32436
7	1641013680.0	0.0	37.90719	46.55239	42.75513	51.81013	44.5949	60.02372	57.72182	52.08479	47.24993	61.44496	67.86673	57.63899	53.52783	56.76705	57.28149	45.45375	43.99763	43.39164	46.52187	51.6837	34.16225	45.44939	47.06682	41.92243	39.93007	50.80741	44.56438	32.61893	33.03746	0.0	0.0	4.56194	2.4135	4.45033	3.24358	5.10603	4.00391	9.48312	4.20271	0.04883	0.07324	5.37458	6.6197	0.0	0.0	0.0	13.77999	0.0	0.34877	0.0	0.0	0.0	7.42536	12.40932	8.60073	0.26855	7.2998	7.13588	7.74623	4.36314	4.90025	4.64914	9.05762	55.27693	4.10854	0.46038	11.69782	10.16671	11.83036	7.21959	17.63044	22.11914	36.58273	27.76228	22.66323	13.96833	13.76604	18.4082	0.0	0.0	0.0	23.70257	8.23103	12.56278	14.54729	30.24902	0.0	0.0	0.0	23.18638	10.4841	0.21624	4.84096	9.66448	4.16434	7.93457	7.32771	5.95354	1.0498	2.80413	0.40109
8	1641013740.0	0.0	37.78512	46.63522	42.72461	51.59215	44.68209	59.98448	57.54307	52.55127	47.5769	61.51036	67.72723	57.35561	53.60631	56.63191	57.03299	45.41016	43.94967	43.34368	46.43032	52.2025	34.09685	45.95947	47.0799	41.75241	40.30936	50.72457	44.35948	32.73664	32.79768	0.0	0.0	3.96903	2.24261	4.75725	3.4389	5.03627	4.17132	9.81097	4.45731	0.04534	0.07324	5.77916	6.89872	0.0	0.0	0.0	14.83329	0.0	0.3418	0.0	0.0	0.0	8.15081	13.48703	9.01576	0.25112	7.13937	6.78711	7.63114	4.35617	4.58636	4.20271	7.92759	46.99707	3.3796	0.41504	10.61314	8.8344	11.28278	6.27093	15.98424	20.17997	33.7507	24.35826	21.18094	13.17313	13.44866	17.59208	0.0	0.0	0.0	25.36621	8.81348	13.41727	15.86217	32.6695	0.0	0.0	0.0	24.48382	11.21652	0.21624	4.95954	8.91113	4.27246	7.39746	6.82199	4.39802	1.05678	2.65765	0.37667
9	1641013800.0	0.0	37.75896	46.88372	42.51971	52.13274	44.69081	59.35233	57.49948	52.98723	47.65538	61.1921	67.75774	57.18994	53.55399	56.54907	56.83245	45.30552	43.91915	43.31752	46.30389	52.06735	34.04018	46.16002	47.39816	41.50391	40.44015	50.53275	44.52515	32.86743	32.76716	0.0	0.0	3.87486	2.15193	4.48172	3.23312	4.6875	4.07366	9.1762	4.24456	0.04883	0.07324	5.52107	6.5918	0.0	0.0	0.0	14.49149	0.0	0.3418	0.0	0.0	0.0	8.07408	13.38239	8.9495	0.24414	7.4428	7.07659	7.85784	4.49916	4.65611	4.20271	7.94503	45.64732	3.49121	0.46387	10.93052	8.74372	10.72824	6.12444	15.21345	19.41964	32.42885	23.04339	20.52176	12.59766	12.86621	16.69224	0.0	0.0	0.0	24.85352	8.83092	13.13477	15.52037	31.92313	0.0	0.0	0.0	25.04883	11.40485	0.21275	4.87584	9.20061	4.2341	7.35561	6.94406	4.67704	1.05678	2.95759	0.36272
