REFID	UNIX	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72
0	1636779660	0	0	0	0	0	0	0	0	0	0	0	0	58.11768	58.78296	61.1084	59.53674	55.48706	45.82214	44.63501	45.58105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.22607	10.12207	7.95654	15.18555	5.0293	1.1084	5.95947	12.48291	37.48291	12.19238	45.68115	29.89014	22.20703	19.16016	19.93408	4.91455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1636779720	0	0	0	0	0	0	0	0	0	0	0	0	58.11157	58.84399	61.16943	59.54285	55.67932	46.02356	44.70825	45.65735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.60986	8.52539	6.67969	12.64648	4.49951	1.10352	5.27832	10.84717	30.37109	10.29541	36.87256	24.25293	17.79541	14.87793	16.29639	4.10645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1636779780	0	0	0	0	0	0	0	0	0	0	0	0	58.09326	58.85925	61.31897	59.59778	55.81665	46.15784	44.75403	45.78552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.20557	9.27979	7.12402	13.62305	4.73389	1.1084	5.58105	11.48682	32.37549	10.82031	39.41162	25.93994	19.15283	15.47363	17.42676	4.36768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1636779840	0	0	0	0	0	0	0	0	0	0	0	0	58.12073	58.89587	61.40442	59.73206	56.01807	46.22498	44.7998	45.83435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.50928	10.46387	7.90771	15.13428	4.99756	1.06934	5.93994	12.37061	36.1499	11.70166	44.53125	29.30908	21.45508	17.17041	19.32373	4.73633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1636779900	0	0	0	0	0	0	0	0	0	0	0	0	58.09021	58.94165	61.4624	59.68323	56.04248	46.38062	44.86694	45.89233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.65088	10.44922	8.03711	15.40771	5.15381	1.11816	6.05957	12.67578	38.81592	12.24609	48.59863	31.80908	23.5498	18.13232	21.29639	5.10986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1636779960	0	0	0	0	0	0	0	0	0	0	0	0	58.02917	58.98132	61.44714	59.70764	56.22559	46.55457	44.98291	45.96252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.15137	10.73975	8.24463	16.07178	5.19043	1.12061	6.18164	13.28369	40.6665	12.54639	49.88037	32.81006	24.15283	18.94775	21.5625	5.04883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	1636780020	0	0	0	0	0	0	0	0	0	0	0	0	57.88269	58.98132	61.42883	59.65271	56.32324	46.76514	45.047	46.06018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.979	11.41113	8.8916	17.54883	5.42236	1.11816	6.47461	14.18945	41.95068	12.89551	52.75635	34.84619	25.59082	20.04395	22.8833	5.37354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1636780080	0	0	0	0	0	0	0	0	0	0	0	0	57.84302	59.04236	61.33423	59.57947	56.41174	46.94519	45.1355	46.10901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.28418	11.55518	8.53027	17.64893	5.40771	1.07422	6.48926	14.80957	45.00488	13.5083	54.36279	36.21582	25.92285	20.82764	22.82227	5.39307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1636780140	0	0	0	0	0	0	0	0	0	0	0	0	57.88269	59.01184	61.28845	59.56421	56.39954	47.23511	45.23621	46.16699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.01367	9.73877	6.67969	13.80615	4.8291	1.09131	5.87646	12.92969	39.55078	12.20703	47.81982	31.68213	23.42041	18.35205	20.19043	5.19775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1636780200	0	0	0	0	0	0	0	0	0	0	0	0	58.02002	58.98743	61.30371	59.52759	56.49109	47.40601	45.25146	46.20361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.68262	10.49316	7.33154	15.1001	5.09521	1.11328	6.12549	13.5083	41.14258	12.60254	49.91455	33.08838	23.84277	19.03809	21.28662	5.18066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	1636780260	0	0	0	0	0	0	0	0	0	0	0	0	58.16345	58.88672	61.22437	59.55811	56.57959	47.54028	45.25146	46.20667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.31006	10.98877	7.66846	16.10107	5.20752	1.04492	6.23779	13.90869	42.21924	12.84668	51.23291	34.04785	24.46777	19.33594	21.40381	5.07812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	1636780320	0	0	0	0	0	0	0	0	0	0	0	0	58.34961	58.78296	61.22131	59.56726	56.70776	47.54333	45.20874	46.27991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.52002	11.15723	7.63916	16.14014	5.26611	1.11816	6.72852	16.43799	43.02002	12.96387	52.26318	34.60938	24.6875	19.69727	22.76855	5.37598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	1636780380	0	0	0	0	0	0	0	0	0	0	0	0	58.5968	58.64868	61.18469	59.56726	56.81152	47.67761	45.22705	46.31042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.44092	10.20508	6.8457	14.28467	4.94629	1.1084	6.40869	16.02295	38.81348	11.98242	46.82373	31.02051	22.70508	17.75879	20.1416	5.03662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	1636780440	0	0	0	0	0	0	0	0	0	0	0	0	58.73718	58.5022	61.203	59.60083	56.90613	47.6532	45.19043	46.34705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.32715	10.92773	7.00928	15.36133	5.27344	1.12305	7.10449	19.35791	43.30078	13.1665	51.65283	34.62646	25.06592	18.93555	21.34766	5.33691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	1636780500	0	0	0	0	0	0	0	0	0	0	0	0	58.8501	58.4259	61.22742	59.67102	56.96106	47.64404	45.24536	46.3623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.3457	9.99512	6.67236	14.33105	4.97803	1.08398	5.92285	15.24414	40.31494	12.14844	48.73047	32.2876	23.56934	17.01172	20.15381	5.38574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	1636780560	0	0	0	0	0	0	0	0	0	0	0	0	58.74634	58.46863	61.35559	59.70459	57.03125	47.73865	45.26062	46.38672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.79492	10.4834	6.64307	14.49951	5.09766	1.1084	5.64453	13.39355	43.81836	13.09814	52.80029	34.92432	25.18311	18.64014	21.01318	5.40771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	1636780620	0	0	0	0	0	0	0	0	0	0	0	0	58.57239	58.64258	61.39526	59.74731	57.08008	47.88208	45.36133	46.45691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.87061	10.42725	6.56738	14.51416	4.96094	1.13037	6.83838	18.08105	42.50732	12.59766	50.74951	33.80615	24.14795	17.8418	20.01221	5.56396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	1636780680	0	0	0	0	0	0	0	0	0	0	0	0	58.26721	58.83789	61.50208	59.82056	57.15637	48.10791	45.45898	46.6217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.92334	9.67041	6.13525	13.10303	4.96826	1.09619	6.43799	16.40137	43.54004	12.92236	50.93506	33.3667	25.45166	18.69141	20.08301	5.83984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	1636780740	0	0	0	0	0	0	0	0	0	0	0	0	57.92236	59.14917	61.55701	59.87854	57.21741	48.31238	45.51086	46.83838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.59619	9.2334	5.67627	12.86377	4.34326	1.09863	5.44434	13.03955	34.30664	10.1709	38.41797	24.81934	19.71924	14.78027	15.81055	4.59717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	1636780800	0	0	0	0	0	0	0	0	0	0	0	0	57.58972	59.41772	61.60583	60.01282	57.31201	48.51685	45.58716	47.09778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.73975	11.51367	6.87012	16.24512	5.57373	1.13037	6.97998	16.81152	49.16992	14.55566	57.09229	36.26465	28.98438	22.10693	23.75488	6.55273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	1636780860	0	0	0	0	0	0	0	0	0	0	0	0	57.30591	59.57336	61.57532	60.16235	57.43103	48.71826	45.67566	47.47314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.16504	9.94141	6.06689	13.48877	4.91455	1.12549	6.54297	15.86914	43.00781	12.60986	48.97705	31.27197	25.72998	26.85547	20.271	5.89111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	1636780920	0	0	0	0	0	0	0	0	0	0	0	0	56.91833	59.79614	61.60278	60.34851	57.52869	49.0387	45.77332	47.76611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1123	10.52734	6.31348	14.93652	5.17822	1.12305	7.10449	17.18994	44.11377	13.46191	51.23047	32.72217	28.1665	34.61426	20.61768	6.16455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	1636780980	0	0	0	0	0	0	0	0	0	0	0	0	56.57043	60.03418	61.71265	60.52246	57.60803	49.33472	45.84045	47.96753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.65576	10.21484	6.12305	14.20654	5.02441	1.13037	7.23145	17.68066	41.8457	12.75879	48.29834	30.72021	26.72852	34.14551	19.8877	5.9082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	1636781040	0	0	0	0	0	0	0	0	0	0	0	0	56.25	60.31189	61.73401	60.55908	57.72095	49.56055	45.89539	48.23914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.80713	10.38818	6.2085	14.28223	5.07812	1.11328	8.00781	19.87793	45.96436	13.7207	53.58887	34.00635	28.98926	37.03613	21.11084	6.28906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	1636781100	0	0	0	0	0	0	0	0	0	0	0	0	55.9967	60.5957	61.86218	60.672	57.82471	49.76501	46.01135	48.51685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.58691	7.2168	4.7876	10.4834	3.72803	1.15234	5.32959	12.93457	30.5957	9.48486	34.79004	22.36816	19.87305	26.00098	14.74121	4.80713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	1636781160	0	0	0	0	0	0	0	0	0	0	0	0	55.75256	60.87341	61.92017	60.71472	57.96814	49.97253	46.10901	48.66638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.71924	10.35889	5.98145	14.49463	4.93164	1.13281	6.2085	15.00488	41.54053	12.39014	50.12207	31.87012	27.86865	35.625	20.64209	6.23779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	1636781220	0	0	0	0	0	0	0	0	0	0	0	0	55.6427	61.15417	61.9751	60.71777	57.94373	50.22583	46.20056	48.75793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.34082	10.09277	5.8667	13.51807	4.89258	1.17188	6.53564	15.29785	44.54102	13.00049	53.16406	33.70117	29.39453	36.87744	21.2085	6.61621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	1636781280	0	0	0	0	0	0	0	0	0	0	0	0	55.48401	61.26709	62.11548	60.69336	57.96814	50.49133	46.32874	48.80676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.46289	10.31982	5.93018	13.68408	4.86816	1.18408	6.30615	14.28467	36.11328	11.86523	51.18408	32.7417	25.41016	24.41895	19.86572	6.19873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	1636781340	0	0	0	0	0	0	0	0	0	0	0	0	55.33142	61.40747	62.27417	60.72083	57.94678	50.60425	46.44165	48.88306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.23486	9.03809	5.49072	12.13623	4.50684	1.19141	6.37207	14.62891	36.05957	11.56982	47.78076	30.5835	24.94141	29.20166	18.19092	5.84961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	1636781400	0	0	0	0	0	0	0	0	0	0	0	0	55.23071	61.56616	62.40234	60.73914	57.84607	50.69885	46.5271	48.84338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.68652	9.38232	5.55176	12.58057	4.56543	1.2085	7.24854	17.22656	43.98682	12.53418	50.79346	32.28027	26.89697	32.9834	19.51416	5.97656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	1636781460	0	0	0	0	0	0	0	0	0	0	0	0	55.18799	61.64246	62.55493	60.66284	57.75146	50.76294	46.55151	48.77319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.73389	10.42236	5.80322	13.78662	4.80469	1.21582	7.51465	17.09961	46.98242	13.42285	54.3457	34.72412	28.8208	34.73877	21.47705	6.30615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	1636781520	0	0	0	0	0	0	0	0	0	0	0	0	55.13	61.67297	62.66479	60.66895	57.60803	50.83618	46.56372	48.70605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1709	10.81543	5.98633	14.47998	4.83154	1.22803	8.22754	18.86475	48.69141	13.65723	56.41846	36.21094	29.31641	35.45898	21.92871	6.44043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	1636781580	0	0	0	0	0	0	0	0	0	0	0	0	55.04761	61.73096	62.80212	60.57129	57.57751	50.96741	46.64001	48.52905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.33008	9.10156	5.48096	11.6748	4.37012	1.23535	6.24023	15.42725	41.8335	12.16309	49.15283	31.26953	24.31396	21.40625	18.80371	5.81299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	1636781640	0	0	0	0	0	0	0	0	0	0	0	0	54.98352	61.75232	62.92114	60.55908	57.52869	51.05591	46.72546	48.48328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.24072	10.05859	5.66406	13.06641	4.57275	1.25244	6.45508	14.47998	45.11475	12.83936	51.59424	32.96387	27.5415	33.23975	20.0415	6.03516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	1636781700	0	0	0	0	0	0	0	0	0	0	0	0	54.89502	61.75232	63.04016	60.48889	57.58057	51.10474	46.7041	48.33374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.03076	9.99023	5.64697	12.61719	4.44824	1.24512	6.51855	15.31738	42.93701	12.23877	50.12207	32.00928	27.16553	36.57959	18.37158	5.64941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
