REFID	UNIX	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72
0	1633755660	0	0	0	0	0	0	0	0	0	0	0	0	48.14148	53.19214	62.12769	61.14502	56.19202	55.75867	54.02832	57.49207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.94873	2.92725	2.39014	3.90137	5.50781	1.16455	11.52344	2.97363	7.40723	11.99219	24.99268	22.43896	32.62451	29.21387	18.82568	7.70996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1633755720	0	0	0	0	0	0	0	0	0	0	0	0	48.50769	52.62146	62.13684	61.78589	56.03333	55.68848	53.96729	57.42798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.92432	2.94434	2.55615	4.36035	6.17188	1.12793	12.49023	3.56201	7.78564	13.00537	17.70264	23.25684	35.2002	31.7041	19.9585	7.88574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1633755780	0	0	0	0	0	0	0	0	0	0	0	0	48.96851	52.29492	62.0636	62.25281	56.08826	55.78918	53.81775	57.31201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.70215	2.9126	2.47559	4.09424	6.19141	1.11328	12.46826	3.62549	8.06885	13.34473	17.96143	23.11279	35.44922	32.14111	20.48584	8.02246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1633755840	0	0	0	0	0	0	0	0	0	0	0	0	49.42627	52.18201	62.03308	62.55493	56.32629	55.83191	53.60107	57.19604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.20166	2.62695	2.45605	4.17725	6.13281	1.12305	12.47314	3.59619	7.72217	13.00537	18.3252	22.55127	35.45166	32.08008	20.40771	8.10059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1633755900	0	0	0	0	0	0	0	0	0	0	0	0	49.92065	52.24609	62.146	62.71973	56.51245	55.85022	53.35999	57.06177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.94629	3.22021	2.48291	4.26514	6.25	1.14502	12.56348	3.55469	7.12158	13.26172	17.48779	20.61035	35.1001	31.53076	19.96826	8.00049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1633755960	0	0	0	0	0	0	0	0	0	0	0	0	50.30212	52.54517	62.28027	62.85706	56.73523	55.90515	53.15552	56.88782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.14404	3.61572	2.54883	4.20654	6.32812	1.16699	12.68066	3.63525	7.146	13.30078	18.69873	20.50049	35.56885	31.8042	20.27344	8.03711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	1633756020	0	0	0	0	0	0	0	0	0	0	0	0	50.64087	53.0426	62.42676	62.86926	57.01294	55.97534	52.89307	56.79626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.52734	3.75488	2.36328	3.9624	5.99365	1.16943	12.02393	3.19336	6.71875	12.66602	17.6001	18.64502	33.10059	29.28955	18.88672	7.70264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1633756080	0	0	0	0	0	0	0	0	0	0	0	0	50.85144	53.68958	62.54578	62.86621	57.22656	56.06689	52.63977	56.60095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.13428	3.49365	2.41943	4.18457	6.0791	1.21582	12.29492	3.26172	7.11426	12.65381	19.2627	20.08301	35.19287	31.16943	20.03174	7.90283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1633756140	0	0	0	0	0	0	0	0	0	0	0	0	50.96436	54.46167	62.68616	62.96082	57.43408	56.1554	52.44141	56.46973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.23682	3.58643	2.4292	4.03564	5.61768	1.2207	11.92383	3.18115	6.63574	12.46094	17.86133	18.50098	32.42432	28.58398	18.38623	7.17773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1633756200	0	0	0	0	0	0	0	0	0	0	0	0	51.18408	55.18799	62.86011	63.00049	57.70264	56.21033	52.24915	56.28967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.28809	3.54736	2.40234	4.23828	5.77393	1.23535	11.71631	2.91016	6.72363	12.15088	18.2373	18.64746	33.16162	29.34326	18.95752	7.56348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
