REFID	UNIX	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72
0	1640667660.0	0.0	40.10446	47.14094	41.35132	51.38288	43.36112	49.24665	42.26685	41.56494	40.11754	53.39704	69.23131	61.55831	59.16922	58.99484	59.31309	59.12999	59.83189	53.88096	58.37577	57.4864	34.11429	34.13173	50.55019	45.37964	41.15949	52.83465	49.79161	34.09249	34.63745	0.0	0.0	2.1589	1.50321	5.71638	4.98047	5.98145	4.90025	9.1204	4.18527	0.0	0.12207	6.96847	5.61523	0.0	0.0	0.0	15.30413	0.0	0.39062	0.0	0.0	0.0	6.22907	10.22949	9.20061	0.21973	14.77051	10.01674	7.74972	6.18025	3.976	4.32129	4.49219	26.69503	4.41895	0.65918	12.5279	7.74275	12.58719	6.32324	22.94224	23.78278	34.57031	23.40611	23.58747	16.07143	12.85226	19.92885	0.0	0.0	0.0	8.68443	41.13072	5.50014	14.55776	29.27944	0.0	0.0	0.0	20.39621	10.54688	0.26158	5.37807	9.08552	4.6875	7.20912	6.45578	9.74121	0.80566	5.10603	0.56152
1	1640667720.0	0.0	39.77312	47.3502	41.65213	51.49187	43.16929	48.83684	42.05322	41.73497	40.68429	53.80249	69.34902	61.69782	59.39157	59.09511	59.30873	59.21282	59.72726	53.83737	58.21446	57.42972	33.90503	34.17969	50.63738	45.27501	41.02434	52.81721	49.61722	33.83527	34.42383	0.0	0.0	2.0159	1.54157	6.04771	5.23158	6.107	5.16532	9.45522	4.37012	0.0	0.12207	7.39746	5.87681	0.0	0.0	0.0	16.15862	0.0	0.39062	0.0	0.0	0.0	6.36161	10.44573	9.42383	0.22321	15.1995	9.43429	7.41141	5.74079	3.59235	4.03878	4.25851	26.09863	3.92369	0.66267	11.48507	7.22656	12.59766	6.02679	22.40862	23.42006	34.13086	23.11314	23.33287	16.15862	13.43122	20.29157	0.0	0.0	0.0	8.71582	41.54227	5.82799	15.46108	30.89774	0.0	0.0	0.0	20.80078	10.78055	0.26158	5.54199	8.93206	5.13393	7.69043	6.17676	9.74121	0.83008	4.11551	0.53362
2	1640667780.0	0.0	40.08702	47.47227	41.3208	51.26517	43.38728	49.36	41.85704	41.5475	40.48811	53.61503	69.567	61.86785	59.50056	59.16922	59.20846	59.2259	59.64007	53.77197	58.13599	57.2379	33.93555	34.55898	50.81177	45.36656	40.84996	52.46408	49.90496	34.06634	33.9617	0.0	0.0	2.10658	1.52065	5.95006	5.11998	5.91867	5.03278	9.09598	4.23758	0.0	0.12207	7.45326	5.96749	0.0	0.0	0.0	16.23535	0.0	0.40109	0.0	0.0	0.0	6.63016	10.8817	9.92606	0.21973	15.85868	9.89467	7.87528	6.25	3.96554	4.30385	4.40151	25.03488	4.33873	0.66267	11.92104	7.17076	12.06752	6.06515	20.47294	22.4435	32.56138	22.50279	22.76088	15.12277	12.76855	19.42313	0.0	0.0	0.0	8.71931	43.7221	5.95354	15.26576	30.00837	0.0	0.0	0.0	21.732	11.13979	0.25809	5.54199	9.51102	5.2002	7.71136	6.54297	9.74121	0.851	4.57938	0.53362
3	1640667840.0	0.0	40.15241	47.24993	41.46467	51.37416	43.38728	49.62158	42.43687	41.17257	40.5317	53.52783	69.567	62.04224	59.63571	59.25642	59.27822	59.21718	59.61827	53.79377	58.09239	57.22918	34.37151	34.64181	50.31913	45.60634	40.68865	53.00031	49.70442	34.48486	33.94427	0.0	0.0	2.25656	1.51018	4.94559	4.14342	4.71191	4.09459	7.76018	3.63072	0.0	0.12207	6.57087	5.31529	0.0	0.0	0.0	13.81836	0.0	0.39062	0.0	0.0	0.0	6.03376	9.72028	8.76465	0.21624	13.2394	8.53446	6.93011	5.63965	3.43541	3.8923	3.59933	18.95229	3.59933	0.67313	9.89816	5.89774	9.36105	4.9142	15.63198	17.34096	24.72098	17.05845	17.17006	11.65248	9.58775	14.488	0.0	0.0	0.0	8.71931	47.1889	5.56641	12.49302	23.99205	0.0	0.0	0.0	18.87905	9.6889	0.26158	5.37458	9.19713	5.30483	8.28683	6.43834	9.74121	0.85449	3.72489	0.50223
4	1640667900.0	0.0	39.81672	47.38944	41.71753	50.96436	43.43959	49.60414	42.33224	41.82652	40.23961	53.88968	69.39697	62.28202	59.63571	59.28693	59.24334	59.22154	59.60519	53.76761	58.07931	57.33381	33.71756	34.52846	50.45428	45.15294	40.54914	52.60795	49.66954	33.99222	34.21456	0.0	0.0	3.15988	1.80664	6.24302	5.43736	6.5918	5.43736	9.88421	4.61775	0.0	0.12207	7.72182	6.1942	0.0	0.0	0.0	16.58761	0.0	0.39062	0.0	0.0	0.0	6.29534	10.37946	8.95299	0.22321	13.03362	9.39244	7.2998	5.63267	3.99344	4.40848	5.04674	30.53502	4.06669	0.67662	11.81292	7.87877	13.11384	6.65109	24.73145	24.77679	36.18513	24.46289	24.57101	16.82478	13.42076	20.881	0.0	0.0	0.0	8.7228	50.93471	6.66155	14.99372	29.48172	0.0	0.0	0.0	19.78585	10.21903	0.26507	5.36063	9.19713	5.17927	8.22056	6.6197	10.06557	0.85798	4.81655	0.55455
5	1640667960.0	0.0	39.74697	47.62922	41.38184	51.23465	43.37856	49.95728	42.55458	41.72189	40.35732	53.90712	69.51032	62.46512	59.73598	59.35669	59.19102	59.12563	59.70546	53.76325	58.08367	57.34689	33.88759	34.64617	50.10986	44.98727	41.00255	52.71258	49.41232	34.07506	33.735	0.0	0.0	3.37612	1.89383	6.52204	5.6815	6.75921	5.61872	10.35854	4.76772	0.0	0.12207	8.03223	6.40695	0.0	0.0	0.0	17.5572	0.0	0.39062	0.0	0.0	0.0	6.62667	10.9654	9.73424	0.21973	14.19503	9.91211	7.78111	6.16978	4.31083	4.48172	5.22461	30.61872	4.40848	0.66964	12.34654	8.17174	13.42425	6.29534	24.96164	25.04883	36.89314	24.86747	24.98954	17.25725	13.63002	21.14955	0.0	0.0	0.0	8.72628	54.98396	7.08357	15.89007	30.75823	0.0	0.0	0.0	21.46345	11.03167	0.26507	5.52455	9.84584	5.32227	8.56934	6.93708	9.74121	0.84403	4.94559	0.57199
6	1640668020.0	0.0	40.08702	47.34584	41.48211	51.87988	43.32624	49.82213	42.21017	41.32516	40.37912	53.8766	69.68471	62.63515	59.71854	59.39157	59.17358	59.06459	59.70982	53.78069	58.11855	57.41664	34.50666	35.01674	50.34964	45.35784	40.81944	52.86952	49.56491	33.90503	34.03146	0.0	0.0	3.23661	1.78571	6.09305	5.28739	6.12444	5.17229	9.46917	4.38756	0.0	0.11858	7.64858	6.107	0.0	0.0	0.0	16.75153	0.0	0.40109	0.0	0.0	0.0	6.79408	11.14676	10.14579	0.21973	14.70424	10.21205	8.00432	6.51158	4.41895	4.60031	4.85142	27.68206	4.28292	0.68359	12.28027	7.70089	12.26283	6.0791	21.68318	23.00851	33.59375	22.71903	22.95968	15.40179	12.56975	19.28362	0.0	0.0	0.0	8.71931	60.7666	6.95452	15.28669	29.24805	0.0	0.0	0.0	21.92732	11.14328	0.27204	5.54548	10.05162	5.24205	9.04715	7.14634	9.74121	0.83008	4.37709	0.57199
7	1640668080.0	0.0	40.49683	47.60742	41.49519	51.31749	43.47011	50.27553	42.0881	41.61726	40.5971	53.9202	69.5452	62.77466	59.64879	59.42644	59.23026	59.07767	59.83189	53.74146	58.11855	57.22482	34.80748	34.59821	50.07935	45.68481	40.77148	52.28533	49.25537	33.58241	34.24944	0.0	0.0	3.46331	1.86942	6.18025	5.36412	6.31627	5.28739	9.68192	4.49916	0.0	0.11509	7.6695	6.12793	0.0	0.0	0.0	16.86314	0.0	0.39062	0.0	0.0	0.0	6.58482	10.78753	9.78655	0.21624	13.94043	9.90165	7.75321	6.25	4.4608	4.51311	5.09556	29.41197	4.34222	0.67662	12.46164	7.99386	12.66392	6.2779	23.41657	23.96763	35.20508	23.75488	24.19434	16.13072	12.96735	20.04395	0.0	0.0	0.0	8.71931	61.40485	6.86035	15.4262	29.60728	0.0	0.0	0.0	21.28557	10.89216	0.26158	5.50363	9.69587	5.15834	8.16476	6.84989	9.74121	0.851	4.52358	0.5685
8	1640668140.0	0.0	40.35732	47.4374	41.64777	51.0995	43.60526	50.14474	42.45867	41.79164	41.03306	53.6499	69.64983	62.84005	59.52672	59.48312	59.20846	58.9774	59.87985	53.63682	58.14471	57.07659	34.91647	34.99494	50.53711	45.51915	41.22925	52.39432	49.12458	33.97478	33.92247	0.0	0.0	3.13546	1.84152	5.61523	4.87932	5.78265	4.84794	9.02274	4.1469	0.0	0.11161	7.01032	5.56989	0.0	0.0	0.0	15.12277	0.0	0.39062	0.0	0.0	0.0	5.73033	9.49009	8.19615	0.21973	11.04213	7.96247	6.50809	5.16532	3.80162	4.22363	4.75725	27.81808	3.7772	0.66616	10.98633	6.79408	12.22796	6.06515	20.75893	22.37026	31.61272	21.98312	21.95173	14.39035	11.73968	18.17453	0.0	0.0	0.0	8.72628	34.01925	6.1942	13.3231	25.80218	0.0	0.0	0.0	17.94782	9.36802	0.26158	5.34319	8.1543	4.75028	7.65555	6.06864	9.74121	0.85449	3.67955	0.53711
9	1640668200.0	0.0	40.67993	47.86464	41.36004	51.64446	43.74477	50.3976	42.3148	41.35568	40.69737	53.76761	69.65419	62.94033	59.4526	59.48312	59.1823	58.95996	59.89729	53.58887	58.09239	57.39485	35.37423	34.94263	50.43248	45.29681	40.93715	52.41176	49.18562	34.0271	34.75952	0.0	0.0	3.59584	1.85547	5.52455	4.76772	5.64662	4.74679	8.61816	4.0353	0.0	0.11161	7.19517	5.81752	0.0	0.0	0.0	15.49595	0.0	0.39062	0.0	0.0	0.0	6.33371	10.21554	9.20061	0.21973	11.59668	8.41936	7.50907	6.19768	4.46777	4.57241	4.80608	27.35073	4.27595	0.69057	12.00474	7.23703	11.92453	6.05818	20.21833	21.69713	31.01283	21.54367	21.60645	14.18806	11.31069	17.67927	0.0	0.0	0.0	8.72977	11.99079	6.58482	13.637	25.79869	0.0	0.0	0.0	20.07882	10.18415	0.26158	5.4269	9.67843	5.11998	8.98786	7.00684	9.74121	0.86496	4.16434	0.56501
