REFID	UNIX	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72
0	1641099660.0	0.0	37.99438	47.13222	42.50227	51.52239	45.02215	55.37197	52.62974	52.93928	47.13658	60.75178	70.75283	62.39537	57.58667	60.41609	62.28202	49.27281	46.84448	45.37964	50.03575	61.61063	39.25432	51.76217	46.28209	43.42651	39.11482	51.2085	44.76493	33.08541	32.91975	0.0	0.0	1.47879	1.40555	4.95605	3.44587	5.12347	4.2341	17.55371	10.30273	0.06975	0.07324	6.45578	7.99037	0.0	0.0	0.0	13.94043	0.0	0.36621	0.0	0.0	0.0	8.64258	12.78599	10.04813	0.24414	10.23298	7.5858	7.97642	6.26046	2.90527	3.15639	4.42592	23.00153	3.34473	0.99749	7.62765	8.1264	14.00321	6.18722	17.12472	26.69503	37.58719	24.74191	27.14146	17.07589	14.43569	23.36077	0.0	0.0	0.0	41.27023	25.52665	10.81543	18.70466	39.774	0.0	0.0	0.0	26.19629	12.81041	0.26855	5.25949	9.25991	4.82701	9.06459	6.92662	3.39704	1.08119	3.52958	0.33482
1	1641099720.0	0.0	37.51482	46.6701	42.26685	51.64446	44.65158	55.19322	52.83465	53.07443	46.53495	60.85205	70.86182	62.22098	57.88749	60.91309	62.60899	49.87008	47.03195	45.60634	50.13166	60.9872	39.15405	51.93656	45.87228	43.51371	39.77748	51.18234	44.98727	32.67997	33.17697	0.0	0.0	1.35672	1.37416	4.64565	3.10756	4.26897	3.69001	15.91099	9.65053	0.05929	0.07673	5.99191	7.22656	0.0	0.0	0.0	13.18359	0.0	0.36621	0.0	0.0	0.0	8.60073	12.36049	9.92955	0.24414	10.68638	7.70089	7.06264	6.03027	2.86342	3.17383	3.81906	17.34445	2.85993	1.08468	7.1603	6.83245	10.86077	4.71889	13.33357	20.79381	29.4887	19.31152	21.52623	13.79046	12.10938	19.15806	0.0	0.0	0.0	36.03167	22.5272	10.57129	16.97475	35.39342	0.0	0.0	0.0	25.71498	12.51046	0.26855	5.28041	9.93652	5.00837	9.05762	7.17076	3.16685	1.08468	3.69001	0.32087
2	1641099780.0	0.0	37.64997	46.65266	42.53714	51.67498	44.49463	55.28477	52.91748	52.74309	46.43467	60.7169	70.89233	61.92889	58.2101	61.47984	62.90545	50.38888	47.1453	45.80253	50.31913	61.07875	38.80964	51.90168	46.72241	43.45703	40.00854	50.94692	44.83032	32.88923	32.84999	0.0	0.0	1.54157	1.35324	4.48521	3.0971	4.80608	3.92718	15.60756	9.18318	0.07324	0.07673	6.107	7.55441	0.0	0.0	0.0	13.01618	0.0	0.36621	0.0	0.0	0.0	8.38797	12.08845	9.46568	0.24763	11.51995	9.22852	7.34515	6.21861	3.44238	3.77372	4.60379	23.05036	4.0911	1.09863	8.64258	8.17522	13.17313	6.12793	15.97377	25.36272	35.40039	23.35031	25.76381	15.78892	13.0406	21.52623	0.0	0.0	0.0	36.11886	23.82464	10.226	16.27372	34.41336	0.0	0.0	0.0	24.42104	11.96289	0.26855	5.07464	10.32366	4.8584	10.20159	7.83343	3.99693	1.07422	4.0353	0.35924
3	1641099840.0	0.0	37.3012	46.27773	42.24941	51.50495	44.30716	55.3894	52.74745	52.85645	46.64394	60.10219	70.88797	61.73706	58.60683	61.96812	63.2455	50.98615	47.28045	45.98127	50.49351	60.46404	38.92299	52.2243	46.3998	43.66193	39.54206	50.94256	45.16166	32.91539	32.91975	0.0	0.0	1.51018	1.32882	3.63072	2.53906	4.03878	3.10407	12.72321	7.39397	0.07324	0.06627	4.93164	6.30232	0.0	0.0	0.0	10.369	0.0	0.36621	0.0	0.0	0.0	7.09054	9.89118	8.1264	0.2546	10.55385	8.56236	6.47321	5.65011	3.13895	3.62374	4.30734	22.60393	4.26549	1.10212	8.5519	7.95898	12.64997	6.01632	15.13672	23.98158	33.66002	22.18192	24.01646	14.35547	11.98382	19.75098	0.0	0.0	0.0	30.53502	20.83566	8.524	13.76953	29.3736	0.0	0.0	0.0	21.70759	10.29576	0.26855	4.91769	9.72726	4.53753	9.52497	7.4986	3.82603	1.07422	3.95857	0.33133
4	1641099900.0	0.0	37.41019	46.21233	42.27121	51.4352	44.20689	55.10167	52.91748	53.07007	46.1295	60.2199	71.26726	61.52344	59.11255	62.4564	63.5376	51.58343	47.4374	46.25593	50.70278	60.64279	38.53498	52.52511	46.82268	43.90172	40.06522	51.52675	45.41016	33.20748	32.87179	0.0	0.0	1.20326	1.34975	3.60282	2.44838	3.6935	3.01339	13.05804	7.62765	0.07324	0.06627	4.93862	6.25349	0.0	0.0	0.0	10.18764	0.0	0.36621	0.0	0.0	0.0	6.49065	9.29478	7.71833	0.24414	8.16825	6.67201	6.26395	4.7433	2.4135	2.66462	3.64467	18.9209	3.22614	1.17885	6.38951	6.39997	11.43276	5.38853	13.1243	21.09026	28.85045	19.38128	21.49135	12.87319	11.29325	18.04548	0.0	0.0	0.0	28.86091	19.21038	7.53348	12.98479	27.45884	0.0	0.0	0.0	17.76297	8.73675	0.26855	4.75377	7.31376	3.96903	6.77316	5.27344	2.99247	1.06376	3.14593	0.26855
5	1641099960.0	0.0	37.12681	45.92896	41.93987	51.03411	44.50771	54.65262	52.83465	53.13982	46.0641	59.98012	71.52448	61.34905	59.65751	63.10599	63.83405	52.23301	47.67718	46.43467	50.9164	60.05859	38.71373	52.26353	46.8968	44.17201	39.91263	51.19542	45.33168	32.98514	33.05926	0.0	0.0	1.51367	1.35324	3.87137	2.74484	4.25851	3.35519	16.8178	10.05162	0.07324	0.0558	5.84542	7.39049	0.0	0.0	0.0	12.52441	0.0	0.36272	0.0	0.0	0.0	7.99386	11.42578	8.93555	0.24414	10.92006	8.9216	7.98689	6.32324	3.12849	3.58189	4.62123	24.31989	4.41197	1.23465	8.85184	8.44378	13.0964	6.33022	16.46554	25.48479	36.81641	24.18039	25.9103	16.23186	13.33008	21.72154	0.0	0.0	0.0	35.30971	23.2945	9.59821	15.90053	34.25991	0.0	0.0	0.0	23.59794	11.26535	0.27553	5.01535	9.83887	4.64914	9.55287	7.47768	3.79116	1.07771	3.87835	0.32785
6	1641100020.0	0.0	37.2358	46.52187	41.87884	51.47443	44.32024	54.28641	52.95672	53.24009	45.66738	59.60955	71.97789	61.2139	60.1763	63.76866	64.08255	52.83029	47.9126	46.67446	51.1649	60.12835	38.94915	52.01503	46.55675	43.93659	39.84724	51.08207	45.53223	32.98514	33.02002	0.0	0.0	1.47879	1.34277	3.81906	2.70996	4.04227	3.23661	16.43764	9.83189	0.07324	0.05929	5.85589	7.31376	0.0	0.0	0.0	12.65695	0.0	0.36621	0.0	0.0	0.0	7.99037	11.54436	8.97391	0.24414	10.98982	8.89021	8.11942	6.48717	3.13895	3.55748	4.51311	23.45843	4.38407	1.23117	8.62863	8.13686	12.8697	6.20466	15.94238	24.80469	35.38993	23.70954	25.44992	15.55525	13.07199	21.14258	0.0	0.0	0.0	35.10045	22.84807	9.6296	15.77497	33.70884	0.0	0.0	0.0	23.45843	11.18513	0.26855	5.0293	9.82492	4.67355	9.44475	7.35561	3.83301	1.09863	3.90276	0.32785
7	1641100080.0	0.0	37.14425	46.26029	41.96167	51.57471	44.97419	54.70494	53.07007	53.58015	45.48427	59.77958	72.67979	61.06131	60.73434	64.35721	64.34413	53.4014	48.16982	46.875	51.40468	59.86241	38.70501	52.33765	46.46955	44.13714	40.16985	51.50931	45.66738	32.95898	32.54918	0.0	0.0	1.3079	1.34626	3.53655	2.46931	3.78069	3.03083	14.6031	8.67048	0.06627	0.05929	5.2002	6.52553	0.0	0.0	0.0	10.65848	0.0	0.36621	0.0	0.0	0.0	6.62319	9.45522	7.56836	0.24414	8.72628	7.40444	6.77316	5.38853	2.65765	3.13198	4.05622	21.24721	3.97949	1.22768	7.46373	7.03474	12.16169	5.8524	14.46359	22.90737	32.12891	21.32394	23.25614	14.06948	11.91057	19.1476	0.0	0.0	0.0	29.46429	18.90346	8.25893	13.24637	28.56097	0.0	0.0	0.0	19.04646	9.22503	0.26507	4.77818	8.29032	4.08761	7.57533	5.89076	3.23312	1.11258	3.42146	0.27902
8	1641100140.0	0.0	37.16605	46.28645	41.98783	51.4352	44.39	54.58723	53.05263	53.60631	45.16166	59.30001	72.58388	60.87385	61.27494	64.7801	64.56212	53.86353	48.30933	47.01887	51.60086	59.77522	38.62217	52.47716	47.11914	44.25485	40.37912	51.35236	45.58018	32.4925	32.75408	0.0	0.0	1.49275	1.34277	3.91323	2.76228	4.16783	3.3796	15.72963	9.41685	0.06627	0.06627	5.75474	7.17425	0.0	0.0	0.0	12.54883	0.0	0.36621	0.0	0.0	0.0	8.16127	11.68387	9.04367	0.24414	11.66295	9.36105	7.99386	6.90569	3.25753	3.83998	4.49916	22.21331	4.39104	1.2486	8.84138	7.56138	12.6988	5.95006	15.44713	24.46289	34.27734	22.67718	24.91978	15.07394	12.71624	20.5113	0.0	0.0	0.0	33.64607	21.11816	9.77609	15.60756	33.1822	0.0	0.0	0.0	24.40011	11.60017	0.26158	4.99093	10.10045	4.68052	9.24944	7.387	3.78418	1.14049	4.13993	0.32785
9	1641100200.0	0.0	37.12681	45.97691	42.07502	51.53111	44.52951	54.49132	52.8826	53.70222	45.41452	59.1823	73.25963	60.76486	61.58883	65.09399	64.71034	54.26025	48.42268	47.19325	51.79269	59.44388	38.69193	52.01939	46.82704	44.35512	40.305	51.78397	45.8374	32.59713	32.20476	0.0	0.0	1.38463	1.34975	4.04925	2.79018	4.16085	3.44936	16.41671	10.18066	0.06975	0.06278	5.62221	7.00335	0.0	0.0	0.0	12.40932	0.0	0.36621	0.0	0.0	0.0	8.10896	11.57575	8.95647	0.25112	11.15025	8.91462	7.69392	6.71038	2.96805	3.56445	4.33175	20.35435	4.42941	1.24512	8.20312	7.02776	12.00126	5.61175	14.22991	23.2945	31.77316	21.21233	23.93973	14.22991	12.18959	19.21387	0.0	0.0	0.0	32.62068	19.6603	9.68192	15.38783	32.61021	0.0	0.0	0.0	23.86998	11.41532	0.26158	5.03976	9.91211	4.70494	9.55985	7.38351	3.47377	1.11258	3.85393	0.31738
