REFID	UNIX	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72
0	1637298060	0	0	0	0	0	0	0	0	0	0	0	0	60.70251	57.45239	53.28369	55.36194	42.4469	41.25977	40.09399	41.27197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.92334	5.5835	6.8457	28.13721	3.11279	320.13916	5.11963	11.16699	11.49902	7.07031	44.70703	25.5249	25.68359	40.06592	21.92383	4.76807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1637298120	0	0	0	0	0	0	0	0	0	0	0	0	60.74829	57.44324	53.34167	55.42297	42.41028	41.25061	40.06958	41.19568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.61572	5.01709	6.2207	24.38232	2.61719	320.15869	4.32373	9.74854	9.38965	6.28906	38.98193	22.66113	23.61328	35.77393	19.02344	4.59717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1637298180	0	0	0	0	0	0	0	0	0	0	0	0	60.81543	57.41882	53.36609	55.49622	42.28821	41.23535	40.01465	41.21704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.021	5.81299	6.6748	27.59277	3.26172	480.14893	5.5127	11.09619	10.08301	6.44287	40.36621	23.59619	24.03564	36.76514	19.77051	4.33838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1637298240	0	0	0	0	0	0	0	0	0	0	0	0	60.88257	57.40662	53.40271	55.58777	42.19055	41.18347	39.95056	41.20178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.84766	5.3833	6.3916	25.59814	3.16406	0.2124	5.36133	10.60059	9.49463	6.21094	38.18604	22.44629	23.1958	35.01709	19.00146	4.24072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1637298300	0	0	0	0	0	0	0	0	0	0	0	0	60.86731	57.44934	53.43628	55.75562	42.0929	41.09497	39.87122	41.1377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.19434	5.77637	6.47461	23.53516	2.9834	320.17334	4.98535	9.80713	9.00146	5.98877	37.14355	21.31348	22.03857	33.69873	18.77441	4.16504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1637298360	0	0	0	0	0	0	0	0	0	0	0	0	60.97412	57.48901	53.44238	55.76172	42.0105	41.08582	39.81018	41.11328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.81836	5.35645	6.63086	27.08008	3.12744	0.19775	5.37598	10.77393	10.30029	6.56494	40.63232	23.65479	24.25781	36.66748	19.87305	4.58984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	1637298420	0	0	0	0	0	0	0	0	0	0	0	0	61.00159	57.4646	53.50037	55.94177	41.89453	41.09497	39.7583	41.0614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.20312	4.82178	6.25	25.23193	2.78076	0.22217	4.82178	9.98779	10.27344	6.52344	39.98291	23.44482	23.86963	36.01318	19.49951	4.53125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1637298480	0	0	0	0	0	0	0	0	0	0	0	0	61.00769	57.48291	53.51257	56.03943	41.82434	41.00952	39.68811	41.00037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.64502	4.98047	5.89844	22.17773	2.5708	0.21484	4.48975	9.46289	8.97949	6.02051	35.7666	21.20605	21.72363	32.6416	17.71973	4.31885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1637298540	0	0	0	0	0	0	0	0	0	0	0	0	61.0321	57.547	53.5675	55.92957	41.81213	40.98816	39.5813	40.99731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.26758	5.86426	6.22803	27.5293	3.14941	0.21729	5.27832	11.00586	10.94482	7.07764	43.39844	24.89258	25.6665	39.50684	21.58203	4.88037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1637298600	0	0	0	0	0	0	0	0	0	0	0	0	61.10229	57.6416	53.64685	55.81055	41.73279	40.95764	39.51111	40.95764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.95264	5.41016	6.06201	26.15723	3.09082	0.24902	5.13916	11.00586	10.32715	6.73584	41.82373	24.09424	24.83154	37.98584	20.92041	4.83643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
