REFID	UNIX	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72
0	1634706060	0	0	0	0	0	0	0	0	0	0	0	0	55.64575	52.11182	54.58069	56.80542	52.37732	51.75171	46.521	53.10974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.729	2.63916	1.49414	2.56836	3.14209	0.31982	10.53223	2.13867	12.03613	8.65723	18.42041	30.41748	30.37842	23.14209	16.99707	8.13477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1634706120	0	0	0	0	0	0	0	0	0	0	0	0	55.48706	51.98975	54.44641	56.71387	52.22168	51.77917	46.521	53.05176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.79736	2.80273	1.7627	2.96387	3.84766	0.31738	12.27783	2.22656	13.45215	10.63477	20.67383	34.64111	33.69141	25.81055	19.05762	8.76953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1634706180	0	0	0	0	0	0	0	0	0	0	0	0	55.39246	51.85242	54.36707	56.6925	52.14539	51.81885	46.50269	53.00903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.86719	2.27295	1.61865	2.78564	3.42529	0.32471	11.65527	2.07764	12.45361	10.04639	18.9209	31.69434	30.43457	23.86475	17.38525	8.10303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1634706240	0	0	0	0	0	0	0	0	0	0	0	0	55.42603	51.80664	54.35486	56.6864	52.11487	51.81885	46.49963	53.02124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.44824	2.41943	1.47461	2.65869	3.10791	0.32227	10.77637	2.18506	11.90918	8.79639	18.15186	30.05859	29.49219	22.96387	17.03369	8.10791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1634706300	0	0	0	0	0	0	0	0	0	0	0	0	55.56335	51.77612	54.41284	56.69861	52.07825	51.86157	46.5332	53.11279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.56445	2.07031	1.73828	2.86377	3.42285	0.31738	11.61865	2.10693	12.44385	9.93408	18.94775	31.65771	30.22949	23.57422	17.22168	7.84424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1634706360	0	0	0	0	0	0	0	0	0	0	0	0	55.66406	51.82495	54.48914	56.63452	52.05383	51.88293	46.54236	53.11279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.72168	2.75146	2.21924	3.5791	4.33105	0.31982	14.37256	2.62939	13.75244	13.07129	20.24414	34.96582	32.89795	25.40283	18.8623	8.51318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	1634706420	0	0	0	0	0	0	0	0	0	0	0	0	55.69458	51.80359	54.55017	56.61011	52.13013	51.92871	46.57288	53.09448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.58984	2.76611	2.36084	3.70361	4.44824	0.32227	14.25537	2.52197	13.6499	12.86133	20.61279	35.78125	33.23975	25.7373	19.26514	8.48389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1634706480	0	0	0	0	0	0	0	0	0	0	0	0	55.74036	51.83716	54.55627	56.604	52.1637	51.9165	46.59424	53.10364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.02344	2.37549	2.1582	3.53027	4.31396	0.32227	13.42529	2.37061	13.37646	12.30713	20.55664	35.1416	32.66846	25.17334	18.7085	8.42285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1634706540	0	0	0	0	0	0	0	0	0	0	0	0	55.69763	51.92871	54.53186	56.55823	52.21558	51.88293	46.54846	53.15247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.91113	2.28516	2.05322	3.23242	4.0625	0.31982	12.40967	2.34131	12.60742	11.54053	19.36279	32.81494	30.94971	24.23828	17.90771	8.26172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1634706600	0	0	0	0	0	0	0	0	0	0	0	0	55.6427	51.98975	54.56238	56.48193	52.24304	51.91956	46.58813	53.14331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.94287	2.21924	1.89453	2.89551	3.71094	0.32227	12.13623	2.28271	11.95801	11.19629	17.77832	30.66406	28.27881	22.33154	16.12793	7.05811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
